Date,Clicks,Impressions,CTR,Position
2025-07-20,0,27,0%,5.6
2025-07-21,0,32,0%,5.6
2025-07-22,0,31,0%,8.4
2025-07-23,0,24,0%,6.5
2025-07-24,0,31,0%,10
2025-07-25,0,24,0%,7
2025-07-26,0,28,0%,6.2
2025-07-27,2,41,4.88%,5.9
2025-07-28,0,22,0%,5.8
2025-07-29,0,13,0%,6
2025-07-30,0,24,0%,6.9
2025-07-31,0,33,0%,6.7
2025-08-01,1,27,3.7%,8.7
2025-08-02,0,33,0%,6.1
2025-08-03,0,19,0%,8.1
2025-08-04,0,15,0%,5.8
2025-08-05,0,28,0%,6.1
2025-08-06,0,24,0%,5.9
2025-08-07,0,16,0%,7.8
2025-08-08,0,25,0%,5.2
2025-08-09,0,22,0%,4.5
2025-08-10,0,21,0%,5.3
2025-08-11,0,12,0%,7.2
2025-08-12,0,16,0%,4.9
2025-08-13,0,15,0%,6.9
2025-08-14,0,22,0%,10.6
2025-08-15,1,19,5.26%,5.4
2025-08-16,0,20,0%,7.1
2025-08-17,0,29,0%,6.6
2025-08-18,0,31,0%,6.4
2025-08-19,0,12,0%,5.5
2025-08-20,0,28,0%,5.7
2025-08-21,0,31,0%,7.1
2025-08-22,0,25,0%,8
2025-08-23,0,32,0%,8.1
2025-08-24,0,24,0%,9.9
2025-08-25,0,39,0%,5.1
2025-08-26,0,20,0%,7
2025-08-27,0,18,0%,7.1
2025-08-28,1,32,3.12%,24.1
2025-08-29,0,14,0%,6.2
2025-08-30,0,24,0%,21
2025-08-31,0,11,0%,6.3
2025-09-01,0,28,0%,3.8
2025-09-02,0,34,0%,8.5
2025-09-03,0,37,0%,11.8
2025-09-04,0,0,,
2025-09-05,0,47,0%,11.4
2025-09-06,0,40,0%,11.5
2025-09-07,0,42,0%,7.7
2025-09-08,0,61,0%,12.6
2025-09-09,0,29,0%,8.7
2025-09-10,0,42,0%,21.4
2025-09-11,0,48,0%,16
2025-09-12,0,23,0%,5.3
2025-09-13,0,23,0%,6.1
2025-09-14,0,14,0%,5.9
2025-09-15,0,24,0%,6.2
2025-09-16,0,30,0%,7.6
2025-09-17,0,34,0%,5.5
2025-09-18,0,25,0%,5.8
2025-09-19,0,10,0%,5.8
2025-09-20,0,12,0%,6.6
2025-09-21,0,13,0%,6.1
2025-09-22,0,13,0%,4.5
2025-09-23,0,27,0%,6.9
2025-09-24,0,22,0%,5.4
2025-09-25,0,21,0%,5.9
2025-09-26,1,36,2.78%,8.1
2025-09-27,0,17,0%,6.5
2025-09-28,0,25,0%,6.9
2025-09-29,0,23,0%,6
2025-09-30,0,23,0%,5.9
2025-10-01,0,11,0%,5.1
2025-10-02,0,18,0%,6.8
2025-10-03,0,16,0%,7.3
2025-10-04,0,17,0%,7.7
2025-10-05,0,22,0%,6.5
2025-10-06,0,36,0%,8.8
2025-10-07,0,27,0%,6.2
2025-10-08,0,23,0%,7.1
2025-10-09,0,19,0%,5.8
2025-10-10,0,22,0%,7.1
2025-10-11,1,27,3.7%,10.4
2025-10-12,0,14,0%,6.7
2025-10-13,0,29,0%,6.8
2025-10-14,0,25,0%,7
2025-10-15,1,29,3.45%,7
2025-10-16,0,30,0%,8.6
2025-10-17,0,27,0%,16
2025-10-18,0,22,0%,14.6
2025-10-19,0,29,0%,5.9
2025-10-20,0,33,0%,6.3
2025-10-21,0,34,0%,5.8
2025-10-22,0,27,0%,7.1
2025-10-23,0,23,0%,15
2025-10-24,0,21,0%,7.3
2025-10-25,0,284,0%,7.8
2025-10-26,0,35,0%,6.8
2025-10-27,0,25,0%,6.5
2025-10-28,0,18,0%,7.1
2025-10-29,0,25,0%,8.2
2025-10-30,1,27,3.7%,5.9
2025-10-31,0,31,0%,6
2025-11-01,0,20,0%,5.7
2025-11-02,0,922,0%,5.2
2025-11-03,0,14,0%,7.6
2025-11-04,0,42,0%,6.6
2025-11-05,1,26,3.85%,6.1
2025-11-06,0,15,0%,6.4
2025-11-07,0,26,0%,7.5
2025-11-08,0,39,0%,7.4
2025-11-09,0,24,0%,6.5
2025-11-10,0,926,0%,5.3
2025-11-11,0,18,0%,6.8
2025-11-12,0,369,0%,5
2025-11-13,0,25,0%,5.4
2025-11-14,0,21,0%,7.6
2025-11-15,0,24,0%,11.5
2025-11-16,0,24,0%,6.7
2025-11-17,1,20,5%,5.8
2025-11-18,0,45,0%,8.4
2025-11-19,0,23,0%,7.8
2025-11-20,0,15,0%,4.7
2025-11-21,0,33,0%,7
2025-11-22,0,37,0%,8.7
2025-11-23,1,29,3.45%,6.7
2025-11-24,0,24,0%,6.9
2025-11-25,0,15,0%,4
2025-11-26,0,25,0%,9
2025-11-27,0,14,0%,7
2025-11-28,0,27,0%,14
2025-11-29,0,22,0%,5.6
2025-11-30,0,26,0%,12.5
2025-12-01,1,22,4.55%,6
2025-12-02,0,18,0%,5.1
2025-12-03,0,20,0%,5.7
2025-12-04,0,23,0%,11
2025-12-05,0,29,0%,8.8
2025-12-06,0,24,0%,5.9
2025-12-07,0,33,0%,6.2
2025-12-08,0,27,0%,3.9
2025-12-09,4,64,6.25%,12.8
2025-12-10,0,35,0%,5.1
2025-12-11,0,37,0%,12.5
2025-12-12,0,25,0%,7
2025-12-13,0,26,0%,11.2
2025-12-14,0,14,0%,3
2025-12-15,0,30,0%,7.2
2025-12-16,0,22,0%,6.8
2025-12-17,1,24,4.17%,5
2025-12-18,0,27,0%,6.8
2025-12-19,0,14,0%,5.5
2025-12-20,0,17,0%,8.6
2025-12-21,0,18,0%,4.3
2025-12-22,0,15,0%,5.2
2025-12-23,0,28,0%,5.6
2025-12-24,0,9,0%,5.8
2025-12-25,1,13,7.69%,12
2025-12-26,0,11,0%,4.5
2025-12-27,0,18,0%,5.1
2025-12-28,0,25,0%,5.4
2025-12-29,0,30,0%,6.1
2025-12-30,0,20,0%,4
2025-12-31,0,17,0%,7
2026-01-01,0,13,0%,5.9
2026-01-02,0,14,0%,3.6
2026-01-03,0,17,0%,5.4
2026-01-04,0,39,0%,8.8
2026-01-05,1,46,2.17%,9.7
2026-01-06,0,25,0%,9.2
2026-01-07,0,9,0%,4.3
2026-01-08,1,21,4.76%,3.7
2026-01-09,0,12,0%,4.8
2026-01-10,0,32,0%,9.4
2026-01-11,0,21,0%,7.4
2026-01-12,0,21,0%,4
2026-01-13,0,28,0%,7.2
2026-01-14,0,34,0%,11
2026-01-15,0,13,0%,4.3
2026-01-16,0,0,,
2026-01-17,0,17,0%,5.7
2026-01-18,0,18,0%,5.8
2026-01-19,0,25,0%,6.9